candidato;idade;faixa de idade;gênero;escolaridade;trabalhando atualmente;tempo sem trabalho;valor do último salário;curso superior;tempo de experiência profissional;tempo de experiência na função;possui automóvel;nº filhos
1;32;De 30 a 45;masculino;ensino médio incompleto;não;1;1100;;12;0;não;3
2;28;até 29;feminino;superior completo;não;1;5110;Engenharia de produção;7;0;sim;1
3;34;De 30 a 45;masculino;superior completo;não;2,3;7000;Engenharia de produção;14;2;sim;1
4;39;De 30 a 45;masculino;pós-graduação;não;0,8;6820;Engenharia mecânica;16;8;sim;2
5;38;De 30 a 45;masculino;superior incompleto;não;1;1780;Administração;18;4;sim;2
6;40;De 30 a 45;masculino;ensino médio completo;sim;;1350;;19;0;não;2
7;25;até 29;masculino;ensino médio completo;sim;;1100;;3;0;não;0
8;33;De 30 a 45;feminino;superior incompleto;não;1;2600;Administração;13;0;não;0
9;38;De 30 a 45;masculino;pós-graduação;sim;;11400;Engenharia de produção;15;5;sim;1
10;29;até 29;feminino;superior completo;não;1;5306;Engenharia de produção;6;0;sim;2
11;31;De 30 a 45;masculino;superior incompleto;sim;;3020;Engenharia mecânica;11;0;sim;0
12;27;até 29;masculino;superior incompleto;não;0,2;4421;Engenharia de produção;4;0;sim;3
13;26;até 29;masculino;superior incompleto;não;1;4252;Engenharia mecânica;5;0;sim;1
14;30;De 30 a 45;masculino;superior completo;sim;;19600;Administração;10;0;não;0
15;30;De 30 a 45;masculino;superior incompleto;não;0,1;3300;Administração;9;1;sim;2
16;25;até 29;feminino;superior incompleto;sim;;4530;Engenharia civil;5;0;sim;1
17;31;De 30 a 45;masculino;superior incompleto;sim;;3200;Tecnólogo Logística;10;0;sim;1
18;32;De 30 a 45;masculino;superior incompleto;não;1;3600;Engenharia mecânica;9;0;sim;0
19;34;De 30 a 45;masculino;superior incompleto;não;1;4400;Engenharia mecânica;13;0;sim;2
20;32;De 30 a 45;feminino;ensino médio completo;não;0,6;1780;;15;0;não;0
21;32;De 30 a 45;masculino;ensino médio completo;sim;;1120;;12;0;não;4
22;32;De 30 a 45;masculino;ensino médio completo;não;1;1400;;12;0;não;0
23;39;De 30 a 45;masculino;superior completo;sim;;24460;Engenharia de produção;16;4;sim;1
24;33;De 30 a 45;masculino;superior incompleto;sim;;3000;Engenharia de produção;13;0;sim;0
25;33;De 30 a 45;masculino;superior incompleto;sim;;3300;Engenharia mecânica;13;0;não;0
26;31;De 30 a 45;feminino;superior completo;não;1;18930;Engenharia de produção;8;0;sim;1
27;41;De 30 a 45;masculino;superior completo;sim;;4621;Administração;18;5;sim;0
28;37;De 30 a 45;masculino;ensino médio completo;sim;;1300;;16;0;sim;0
29;43;De 30 a 45;masculino;ensino médio completo;não;0,2;1736;;22;5;sim;1
30;31;De 30 a 45;feminino;superior incompleto;sim;;2400;Administração;14;3;não;0
31;40;De 30 a 45;masculino;ensino médio completo;sim;;1361;;21;10;sim;0
32;27;até 29;feminino;superior incompleto;sim;;3693;Engenharia civil;6;0;sim;0
33;36;De 30 a 45;masculino;ensino médio incompleto;não;1;1360;;15;0;não;2
34;37;De 30 a 45;masculino;superior completo;não;1;4800;Engenharia mecânica;14;8;sim;2
35;49;De 30 a 45;masculino;superior incompleto;não;0,5;2820;Engenharia mecânica;25;5;sim;2
36;33;De 30 a 45;feminino;superior completo;não;2,5;5522;Engenharia civil;12;2;sim;1
37;31;De 30 a 45;masculino;ensino médio completo;não;0,5;1730;;11;3;não;4
38;36;De 30 a 45;feminino;ensino médio completo;sim;;1252;;15;7;não;2
39;32;De 30 a 45;masculino;ensino médio completo;não;1;1700;;16;0;sim;1
40;37;De 30 a 45;masculino;superior completo;sim;;6360;Engenharia mecânica;14;6;sim;0
41;28;até 29;masculino;superior incompleto;sim;;3400;Engenharia mecânica;7;0;sim;1
42;30;De 30 a 45;feminino;ensino médio completo;não;1;1520;;14;2;não;1
43;27;até 29;masculino;superior incompleto;não;0,4;3620;Engenharia de produção;4;0;sim;2
44;32;De 30 a 45;masculino;pós-graduação;sim;;12425;Engenharia mecânica;11;0;sim;0
45;33;De 30 a 45;masculino;superior completo;sim;;5386;Administração;12;2;sim;2
46;34;De 30 a 45;feminino;ensino médio completo;sim;;1132;;14;0;não;3
47;32;De 30 a 45;masculino;ensino médio completo;sim;;1200;;12;0;não;1
48;42;De 30 a 45;masculino;ensino médio completo;sim;;1349;;21;0;não;1
49;27;até 29;masculino;superior incompleto;não;0,1;1960;Engenharia mecânica;6;0;não;2
50;31;De 30 a 45;feminino;superior completo;não;2;9840;Engenharia de produção;14;2;sim;0
51;53;mais de 45;masculino;superior incompleto;não;1,5;3705;Engenharia civil;30;12;sim;2
52;39;De 30 a 45;masculino;superior incompleto;não;1;1600;Administração;19;5;sim;2
53;28;até 29;feminino;superior completo;sim;;14250;Engenharia de produção;11;0;sim;0
54;31;De 30 a 45;masculino;ensino médio completo;não;1;1720;;11;0;sim;4
55;37;De 30 a 45;masculino;ensino médio completo;sim;;1340;;16;0;não;3
56;35;De 30 a 45;masculino;superior incompleto;sim;;3200;Engenharia elétrica;17;1;sim;0
57;37;De 30 a 45;masculino;ensino médio completo;não;0,5;1480;;16;0;não;3
58;36;De 30 a 45;masculino;superior completo;sim;;6840;Engenharia mecânica;16;10;sim;1
59;28;até 29;masculino;superior incompleto;sim;;3000;Engenharia civil;5;0;sim;1
60;29;até 29;masculino;ensino médio completo;sim;;1100;;9;0;não;3
61;36;De 30 a 45;masculino;superior incompleto;não;0,5;2200;Engenharia elétrica;15;3;sim;3
62;35;De 30 a 45;masculino;ensino médio completo;sim;;1214;;14;0;não;2
63;30;De 30 a 45;feminino;superior incompleto;sim;;4400;Engenharia de produção;9;0;sim;0
64;33;De 30 a 45;masculino;ensino médio completo;sim;;1280;;10;0;não;1
65;34;De 30 a 45;masculino;superior incompleto;não;1;3020;Engenharia elétrica;13;0;sim;3
66;36;De 30 a 45;masculino;ensino médio completo;sim;;1112;;15;0;não;1
67;34;De 30 a 45;masculino;ensino médio completo;sim;;1123;;11;0;não;2
68;30;De 30 a 45;masculino;superior completo;não;1;7900;Engenharia mecânica;9;0;sim;1
69;41;De 30 a 45;masculino;superior incompleto;sim;;2700;Engenharia mecânica;16;5;sim;2
70;35;De 30 a 45;masculino;superior incompleto;não;3;2400;Engenharia de produção;12;2;sim;0
